BioSample,LibraryName,refGenome,fq1,fq2,lat,long,Organism,Run,BioProject
E001093_E014_1A,E001093_E014_1A_S96_L004,refGenomePlaceholder,E001093_E014_1A_S96_L004_R1_001.fastq.gz,E001093_E014_1A_S96_L004_R2_001.fastq.gz,36.604543,-121.870603,25-Enhydra,E001093_E014_1A_S96_L004,25-Enhydra
E001094_E014_1B,E001094_E014_1B_S97_L004,refGenomePlaceholder,E001094_E014_1B_S97_L004_R1_001.fastq.gz,E001094_E014_1B_S97_L004_R2_001.fastq.gz,36.883211,-121.830887,25-Enhydra,E001094_E014_1B_S97_L004,25-Enhydra
E001095_E014_1C,E001095_E014_1C_S98_L004,refGenomePlaceholder,E001095_E014_1C_S98_L004_R1_001.fastq.gz,E001095_E014_1C_S98_L004_R2_001.fastq.gz,36.909305,-121.848178,25-Enhydra,E001095_E014_1C_S98_L004,25-Enhydra
E001096_E014_1D,E001096_E014_1D_S99_L004,refGenomePlaceholder,E001096_E014_1D_S99_L004_R1_001.fastq.gz,E001096_E014_1D_S99_L004_R2_001.fastq.gz,35.068171,-120.628871,25-Enhydra,E001096_E014_1D_S99_L004,25-Enhydra
E001097_E014_1E,E001097_E014_1E_S100_L004,refGenomePlaceholder,E001097_E014_1E_S100_L004_R1_001.fastq.gz,E001097_E014_1E_S100_L004_R2_001.fastq.gz,37.12941,-122.340148,25-Enhydra,E001097_E014_1E_S100_L004,25-Enhydra
E001118_E014_4B,E001118_E014_4B_S86_L003,refGenomePlaceholder,E001118_E014_4B_S86_L003_R1_001.fastq.gz,E001118_E014_4B_S86_L003_R2_001.fastq.gz,36.612411,-121.947268,25-Enhydra,E001118_E014_4B_S86_L003,25-Enhydra
E001100_E014_1H,E001100_E014_1H_S101_L004,refGenomePlaceholder,E001100_E014_1H_S101_L004_R1_001.fastq.gz,E001100_E014_1H_S101_L004_R2_001.fastq.gz,35.440286,-120.894813,25-Enhydra,E001100_E014_1H_S101_L004,25-Enhydra
E001101_E014_2A,E001101_E014_2A_S81_L003,refGenomePlaceholder,E001101_E014_2A_S81_L003_R1_001.fastq.gz,E001101_E014_2A_S81_L003_R2_001.fastq.gz,36.905583,-121.845489,25-Enhydra,E001101_E014_2A_S81_L003,25-Enhydra
E001102_E014_2B,E001102_E014_2B_S102_L004,refGenomePlaceholder,E001102_E014_2B_S102_L004_R1_001.fastq.gz,E001102_E014_2B_S102_L004_R2_001.fastq.gz,36.957146,-121.889223,25-Enhydra,E001102_E014_2B_S102_L004,25-Enhydra
E001103_E014_2C,E001103_E014_2C_S82_L003,refGenomePlaceholder,E001103_E014_2C_S82_L003_R1_001.fastq.gz,E001103_E014_2C_S82_L003_R2_001.fastq.gz,35.069843,-120.629067,25-Enhydra,E001103_E014_2C_S82_L003,25-Enhydra
E001114_E014_3F,E001114_E014_3F_S106_L004,refGenomePlaceholder,E001114_E014_3F_S106_L004_R1_001.fastq.gz,E001114_E014_3F_S106_L004_R2_001.fastq.gz,36.55301,-121.930796,25-Enhydra,E001114_E014_3F_S106_L004,25-Enhydra
E001104_E014_2D,E001104_E014_2D_S103_L004,refGenomePlaceholder,E001104_E014_2D_S103_L004_R1_001.fastq.gz,E001104_E014_2D_S103_L004_R2_001.fastq.gz,36.931592,-121.862715,25-Enhydra,E001104_E014_2D_S103_L004,25-Enhydra
E001105_E014_2E,E001105_E014_2E_S83_L003,refGenomePlaceholder,E001105_E014_2E_S83_L003_R1_001.fastq.gz,E001105_E014_2E_S83_L003_R2_001.fastq.gz,35.425922,-120.881995,25-Enhydra,E001105_E014_2E_S83_L003,25-Enhydra
E001107_E014_2G,E001107_E014_2G_S104_L004,refGenomePlaceholder,E001107_E014_2G_S104_L004_R1_001.fastq.gz,E001107_E014_2G_S104_L004_R2_001.fastq.gz,35.36493,-120.853973,25-Enhydra,E001107_E014_2G_S104_L004,25-Enhydra
E001109_E014_3A,E001109_E014_3A_S84_L003,refGenomePlaceholder,E001109_E014_3A_S84_L003_R1_001.fastq.gz,E001109_E014_3A_S84_L003_R2_001.fastq.gz,34.46905,-120.272569,25-Enhydra,E001109_E014_3A_S84_L003,25-Enhydra
E001110_E014_3B,E001110_E014_3B_S105_L004,refGenomePlaceholder,E001110_E014_3B_S105_L004_R1_001.fastq.gz,E001110_E014_3B_S105_L004_R2_001.fastq.gz,34.46905,-120.272569,25-Enhydra,E001110_E014_3B_S105_L004,25-Enhydra
E001117_E014_4A,E001117_E014_4A_S108_L004,refGenomePlaceholder,E001117_E014_4A_S108_L004_R1_001.fastq.gz,E001117_E014_4A_S108_L004_R2_001.fastq.gz,37.735709,-122.507408,25-Enhydra,E001117_E014_4A_S108_L004,25-Enhydra
E001121_E014_4E,E001121_E014_4E_S110_L004,refGenomePlaceholder,E001121_E014_4E_S110_L004_R1_001.fastq.gz,E001121_E014_4E_S110_L004_R2_001.fastq.gz,35.400827,-120.868569,25-Enhydra,E001121_E014_4E_S110_L004,25-Enhydra
E001113_E014_3E,E001113_E014_3E_S85_L003,refGenomePlaceholder,E001113_E014_3E_S85_L003_R1_001.fastq.gz,E001113_E014_3E_S85_L003_R2_001.fastq.gz,36.491971,-121.944947,25-Enhydra,E001113_E014_3E_S85_L003,25-Enhydra
E001115_E014_3G,E001115_E014_3G_S107_L004,refGenomePlaceholder,E001115_E014_3G_S107_L004_R1_001.fastq.gz,E001115_E014_3G_S107_L004_R2_001.fastq.gz,35.122116,-120.635354,25-Enhydra,E001115_E014_3G_S107_L004,25-Enhydra
E001120_E014_4D,E001120_E014_4D_S109_L004,refGenomePlaceholder,E001120_E014_4D_S109_L004_R1_001.fastq.gz,E001120_E014_4D_S109_L004_R2_001.fastq.gz,35.379025,-120.864874,25-Enhydra,E001120_E014_4D_S109_L004,25-Enhydra
E001124_E014_4H,E001124_E014_4H_S87_L003,refGenomePlaceholder,E001124_E014_4H_S87_L003_R1_001.fastq.gz,E001124_E014_4H_S87_L003_R2_001.fastq.gz,36.961393,-122.023844,25-Enhydra,E001124_E014_4H_S87_L003,25-Enhydra
E001126_E014_5B,E001126_E014_5B_S111_L004,refGenomePlaceholder,E001126_E014_5B_S111_L004_R1_001.fastq.gz,E001126_E014_5B_S111_L004_R2_001.fastq.gz,36.835281,-121.803021,25-Enhydra,E001126_E014_5B_S111_L004,25-Enhydra
E001127_E014_5C,E001127_E014_5C_S112_L004,refGenomePlaceholder,E001127_E014_5C_S112_L004_R1_001.fastq.gz,E001127_E014_5C_S112_L004_R2_001.fastq.gz,36.972146,-121.914845,25-Enhydra,E001127_E014_5C_S112_L004,25-Enhydra
E001128_E014_5D,E001128_E014_5D_S113_L004,refGenomePlaceholder,E001128_E014_5D_S113_L004_R1_001.fastq.gz,E001128_E014_5D_S113_L004_R2_001.fastq.gz,36.6051,-121.892728,25-Enhydra,E001128_E014_5D_S113_L004,25-Enhydra
E001145_E014_7E,E001145_E014_7E_S119_L004,refGenomePlaceholder,E001145_E014_7E_S119_L004_R1_001.fastq.gz,E001145_E014_7E_S119_L004_R2_001.fastq.gz,36.611514,-121.89563,25-Enhydra,E001145_E014_7E_S119_L004,25-Enhydra
E001134_E014_6B,E001134_E014_6B_S88_L003,refGenomePlaceholder,E001134_E014_6B_S88_L003_R1_001.fastq.gz,E001134_E014_6B_S88_L003_R2_001.fastq.gz,35.135006,-120.641556,25-Enhydra,E001134_E014_6B_S88_L003,25-Enhydra
E001136_E014_6D,E001136_E014_6D_S114_L004,refGenomePlaceholder,E001136_E014_6D_S114_L004_R1_001.fastq.gz,E001136_E014_6D_S114_L004_R2_001.fastq.gz,35.415316,-120.875647,25-Enhydra,E001136_E014_6D_S114_L004,25-Enhydra
E001137_E014_6E,E001137_E014_6E_S115_L004,refGenomePlaceholder,E001137_E014_6E_S115_L004_R1_001.fastq.gz,E001137_E014_6E_S115_L004_R2_001.fastq.gz,36.970782,-121.953502,25-Enhydra,E001137_E014_6E_S115_L004,25-Enhydra
E001139_E014_6G,E001139_E014_6G_S116_L004,refGenomePlaceholder,E001139_E014_6G_S116_L004_R1_001.fastq.gz,E001139_E014_6G_S116_L004_R2_001.fastq.gz,36.961614,-121.997766,25-Enhydra,E001139_E014_6G_S116_L004,25-Enhydra
E001142_E014_7B,E001142_E014_7B_S118_L004,refGenomePlaceholder,E001142_E014_7B_S118_L004_R1_001.fastq.gz,E001142_E014_7B_S118_L004_R2_001.fastq.gz,35.178262,-120.735434,25-Enhydra,E001142_E014_7B_S118_L004,25-Enhydra
E001140_E014_6H,E001140_E014_6H_S89_L003,refGenomePlaceholder,E001140_E014_6H_S89_L003_R1_001.fastq.gz,E001140_E014_6H_S89_L003_R2_001.fastq.gz,36.554964,-121.931349,25-Enhydra,E001140_E014_6H_S89_L003,25-Enhydra
E001141_E014_7A,E001141_E014_7A_S117_L004,refGenomePlaceholder,E001141_E014_7A_S117_L004_R1_001.fastq.gz,E001141_E014_7A_S117_L004_R2_001.fastq.gz,36.618631,-121.851293,25-Enhydra,E001141_E014_7A_S117_L004,25-Enhydra
E001151_E014_8C,E001151_E014_8C_S124_L004,refGenomePlaceholder,E001151_E014_8C_S124_L004_R1_001.fastq.gz,E001151_E014_8C_S124_L004_R2_001.fastq.gz,35.562908,-121.108071,25-Enhydra,E001151_E014_8C_S124_L004,25-Enhydra
E001146_E014_7F,E001146_E014_7F_S120_L004,refGenomePlaceholder,E001146_E014_7F_S120_L004_R1_001.fastq.gz,E001146_E014_7F_S120_L004_R2_001.fastq.gz,36.557398,-121.932262,25-Enhydra,E001146_E014_7F_S120_L004,25-Enhydra
E001147_E014_7G,E001147_E014_7G_S121_L004,refGenomePlaceholder,E001147_E014_7G_S121_L004_R1_001.fastq.gz,E001147_E014_7G_S121_L004_R2_001.fastq.gz,36.94696,-121.876713,25-Enhydra,E001147_E014_7G_S121_L004,25-Enhydra
E001148_E014_7H,E001148_E014_7H_S122_L004,refGenomePlaceholder,E001148_E014_7H_S122_L004_R1_001.fastq.gz,E001148_E014_7H_S122_L004_R2_001.fastq.gz,36.794638,-121.792217,25-Enhydra,E001148_E014_7H_S122_L004,25-Enhydra
E001149_E014_8A,E001149_E014_8A_S123_L004,refGenomePlaceholder,E001149_E014_8A_S123_L004_R1_001.fastq.gz,E001149_E014_8A_S123_L004_R2_001.fastq.gz,36.752084,-121.804006,25-Enhydra,E001149_E014_8A_S123_L004,25-Enhydra
E001150_E014_8B,E001150_E014_8B_S90_L003,refGenomePlaceholder,E001150_E014_8B_S90_L003_R1_001.fastq.gz,E001150_E014_8B_S90_L003_R2_001.fastq.gz,36.686236,-121.813619,25-Enhydra,E001150_E014_8B_S90_L003,25-Enhydra
E001154_E014_8F,E001154_E014_8F_S125_L004,refGenomePlaceholder,E001154_E014_8F_S125_L004_R1_001.fastq.gz,E001154_E014_8F_S125_L004_R2_001.fastq.gz,36.602014,-121.889505,25-Enhydra,E001154_E014_8F_S125_L004,25-Enhydra
E001160_E014_9D,E001160_E014_9D_S126_L004,refGenomePlaceholder,E001160_E014_9D_S126_L004_R1_001.fastq.gz,E001160_E014_9D_S126_L004_R2_001.fastq.gz,36.97764,-122.146728,25-Enhydra,E001160_E014_9D_S126_L004,25-Enhydra
E001164_E014_9H,E001164_E014_9H_S127_L004,refGenomePlaceholder,E001164_E014_9H_S127_L004_R1_001.fastq.gz,E001164_E014_9H_S127_L004_R2_001.fastq.gz,37.164855,-122.363736,25-Enhydra,E001164_E014_9H_S127_L004,25-Enhydra
E001165_E014_10A,E001165_E014_10A_S128_L004,refGenomePlaceholder,E001165_E014_10A_S128_L004_R1_001.fastq.gz,E001165_E014_10A_S128_L004_R2_001.fastq.gz,35.087407,-120.629235,25-Enhydra,E001165_E014_10A_S128_L004,25-Enhydra
E001167_E014_10C,E001167_E014_10C_S91_L003,refGenomePlaceholder,E001167_E014_10C_S91_L003_R1_001.fastq.gz,E001167_E014_10C_S91_L003_R2_001.fastq.gz,36.624182,-121.941129,25-Enhydra,E001167_E014_10C_S91_L003,25-Enhydra
E001168_E014_10D,E001168_E014_10D_S129_L004,refGenomePlaceholder,E001168_E014_10D_S129_L004_R1_001.fastq.gz,E001168_E014_10D_S129_L004_R2_001.fastq.gz,36.698533,-121.809926,25-Enhydra,E001168_E014_10D_S129_L004,25-Enhydra
E001173_E014_11A,E001173_E014_11A_S133_L004,refGenomePlaceholder,E001173_E014_11A_S133_L004_R1_001.fastq.gz,E001173_E014_11A_S133_L004_R2_001.fastq.gz,35.642794,-121.190326,25-Enhydra,E001173_E014_11A_S133_L004,25-Enhydra
E001170_E014_10F,E001170_E014_10F_S130_L004,refGenomePlaceholder,E001170_E014_10F_S130_L004_R1_001.fastq.gz,E001170_E014_10F_S130_L004_R2_001.fastq.gz,36.935744,-121.865845,25-Enhydra,E001170_E014_10F_S130_L004,25-Enhydra
E001174_E014_11B,E001174_E014_11B_S92_L003,refGenomePlaceholder,E001174_E014_11B_S92_L003_R1_001.fastq.gz,E001174_E014_11B_S92_L003_R2_001.fastq.gz,35.331985,-120.865511,25-Enhydra,E001174_E014_11B_S92_L003,25-Enhydra
E001171_E014_10G,E001171_E014_10G_S131_L004,refGenomePlaceholder,E001171_E014_10G_S131_L004_R1_001.fastq.gz,E001171_E014_10G_S131_L004_R2_001.fastq.gz,35.666688,-121.285129,25-Enhydra,E001171_E014_10G_S131_L004,25-Enhydra
E001172_E014_10H,E001172_E014_10H_S132_L004,refGenomePlaceholder,E001172_E014_10H_S132_L004_R1_001.fastq.gz,E001172_E014_10H_S132_L004_R2_001.fastq.gz,36.804751,-121.7882,25-Enhydra,E001172_E014_10H_S132_L004,25-Enhydra
E001175_E014_11C,E001175_E014_11C_S134_L004,refGenomePlaceholder,E001175_E014_11C_S134_L004_R1_001.fastq.gz,E001175_E014_11C_S134_L004_R2_001.fastq.gz,36.536892,-121.92819,25-Enhydra,E001175_E014_11C_S134_L004,25-Enhydra
E001176_E014_11D,E001176_E014_11D_S135_L004,refGenomePlaceholder,E001176_E014_11D_S135_L004_R1_001.fastq.gz,E001176_E014_11D_S135_L004_R2_001.fastq.gz,36.814643,-121.79177,25-Enhydra,E001176_E014_11D_S135_L004,25-Enhydra
E001177_E014_11E,E001177_E014_11E_S136_L004,refGenomePlaceholder,E001177_E014_11E_S136_L004_R1_001.fastq.gz,E001177_E014_11E_S136_L004_R2_001.fastq.gz,36.963498,-121.89717,25-Enhydra,E001177_E014_11E_S136_L004,25-Enhydra
E001181_E014_12A,E001181_E014_12A_S137_L004,refGenomePlaceholder,E001181_E014_12A_S137_L004_R1_001.fastq.gz,E001181_E014_12A_S137_L004_R2_001.fastq.gz,35.136225,-120.64249,25-Enhydra,E001181_E014_12A_S137_L004,25-Enhydra
E001186_E014_12F,E001186_E014_12F_S94_L003,refGenomePlaceholder,E001186_E014_12F_S94_L003_R1_001.fastq.gz,E001186_E014_12F_S94_L003_R2_001.fastq.gz,60.365021,-148.103525,25-Enhydra,E001186_E014_12F_S94_L003,25-Enhydra
E001185_E014_12E,E001185_E014_12E_S139_L004,refGenomePlaceholder,E001185_E014_12E_S139_L004_R1_001.fastq.gz,E001185_E014_12E_S139_L004_R2_001.fastq.gz,60.267036,-147.939416,25-Enhydra,E001185_E014_12E_S139_L004,25-Enhydra
E001187_E014_12G,E001187_E014_12G_S140_L004,refGenomePlaceholder,E001187_E014_12G_S140_L004_R1_001.fastq.gz,E001187_E014_12G_S140_L004_R2_001.fastq.gz,54.819627,166.479304,25-Enhydra,E001187_E014_12G_S140_L004,25-Enhydra
E001188_E014_12H,E001188_E014_12H_S95_L003,refGenomePlaceholder,E001188_E014_12H_S95_L003_R1_001.fastq.gz,E001188_E014_12H_S95_L003_R2_001.fastq.gz,51.401261,179.299476,25-Enhydra,E001188_E014_12H_S95_L003,25-Enhydra
E001183_E014_12C,E001183_E014_12C_S93_L003,refGenomePlaceholder,E001183_E014_12C_S93_L003_R1_001.fastq.gz,E001183_E014_12C_S93_L003_R2_001.fastq.gz,51.401261,179.299476,25-Enhydra,E001183_E014_12C_S93_L003,25-Enhydra
E001184_E014_12D,E001184_E014_12D_S138_L004,refGenomePlaceholder,E001184_E014_12D_S138_L004_R1_001.fastq.gz,E001184_E014_12D_S138_L004_R2_001.fastq.gz,54.819627,166.479304,25-Enhydra,E001184_E014_12D_S138_L004,25-Enhydra
