BioSample,LibraryName,refGenome,fq1,fq2,lat,long,Organism,Run,BioProject,SampleType
MVZCCGP_Mfo8-I_E01,MVZCCGP_Mfo8-I_E01_1,GCA_026170545.1,MVZCCGP_Mfo8-I_E01_R1.fastq.gz,MVZCCGP_Mfo8-I_E01_R2.fastq.gz,39.8027751,-122.0133804,41-Melanerpes,MVZCCGP_Mfo8-I_E01_1,41-Melanerpes,
MVZCCGP_Mfo8-I_E01,MVZCCGP_Mfo8-I_E01_3,GCA_026170545.1,MVZCCGP-Mfo8_S124_L004_R1_001.fastq.gz,MVZCCGP-Mfo8_S124_L004_R2_001.fastq.gz,39.8027751,-122.0133804,41-Melanerpes,MVZCCGP_Mfo8-I_E01_3,41-Melanerpes,
MVZCCGP_Mfo60-I_F06,MVZCCGP_Mfo60-I_F06_1,GCA_026170545.1,MVZCCGP_Mfo60-I_F06_R1.fastq.gz,MVZCCGP_Mfo60-I_F06_R2.fastq.gz,37.66026,-119.956254,41-Melanerpes,MVZCCGP_Mfo60-I_F06_1,41-Melanerpes,
MVZCCGP_Mfo60-I_F06,MVZCCGP_Mfo60-I_F06_3,GCA_026170545.1,MVZCCGP-Mfo60_S18_L004_R1_001.fastq.gz,MVZCCGP-Mfo60_S18_L004_R2_001.fastq.gz,37.66026,-119.956254,41-Melanerpes,MVZCCGP_Mfo60-I_F06_3,41-Melanerpes,
MVZCCGP_Mfo66-I_C07,MVZCCGP_Mfo66-I_C07_1,GCA_026170545.1,MVZCCGP_Mfo66-I_C07_R1.fastq.gz,MVZCCGP_Mfo66-I_C07_R2.fastq.gz,36.3697,-121.54437,41-Melanerpes,MVZCCGP_Mfo66-I_C07_1,41-Melanerpes,
MVZCCGP_Mfo66-I_C07,MVZCCGP_Mfo66-I_C07_3,GCA_026170545.1,MVZCCGP-Mfo66_S14_L004_R1_001.fastq.gz,MVZCCGP-Mfo66_S14_L004_R2_001.fastq.gz,36.3697,-121.54437,41-Melanerpes,MVZCCGP_Mfo66-I_C07_3,41-Melanerpes,
MVZCCGP_Mfo81-I_B09,MVZCCGP_Mfo81-I_B09_1,GCA_026170545.1,MVZCCGP_Mfo81-I_B09_R1.fastq.gz,MVZCCGP_Mfo81-I_B09_R2.fastq.gz,33.61322,-116.65932,41-Melanerpes,MVZCCGP_Mfo81-I_B09_1,41-Melanerpes,
MVZCCGP_Mfo81-I_B09,MVZCCGP_Mfo81-I_B09_3,GCA_026170545.1,MVZCCGP-Mfo81_S1_L004_R1_001.fastq.gz,MVZCCGP-Mfo81_S1_L004_R2_001.fastq.gz,33.61322,-116.65932,41-Melanerpes,MVZCCGP_Mfo81-I_B09_3,41-Melanerpes,
MVZCCGP_Mfo78-I_G08,MVZCCGP_Mfo78-I_G08_1,GCA_026170545.1,MVZCCGP_Mfo78-I_G08_R1.fastq.gz,MVZCCGP_Mfo78-I_G08_R2.fastq.gz,33.824082,-116.757408,41-Melanerpes,MVZCCGP_Mfo78-I_G08_1,41-Melanerpes,
MVZCCGP_Mfo78-I_G08,MVZCCGP_Mfo78-I_G08_3,GCA_026170545.1,MVZCCGP-Mfo78_S3_L004_R1_001.fastq.gz,MVZCCGP-Mfo78_S3_L004_R2_001.fastq.gz,33.824082,-116.757408,41-Melanerpes,MVZCCGP_Mfo78-I_G08_3,41-Melanerpes,
MVZCCGP_Mfo99-I_C11,MVZCCGP_Mfo99-I_C11_1,GCA_026170545.1,MVZCCGP_Mfo99-I_C11_R1.fastq.gz,MVZCCGP_Mfo99-I_C11_R2.fastq.gz,32.8395,-116.791,41-Melanerpes,MVZCCGP_Mfo99-I_C11_1,41-Melanerpes,
MVZCCGP_Mfo99-I_C11,MVZCCGP_Mfo99-I_C11_3,GCA_026170545.1,MVZCCGP-Mfo99_S59_L004_R1_001.fastq.gz,MVZCCGP-Mfo99_S59_L004_R2_001.fastq.gz,32.8395,-116.791,41-Melanerpes,MVZCCGP_Mfo99-I_C11_3,41-Melanerpes,
MVZCCGP_Mfo108-I_C12,MVZCCGP_Mfo108-I_C12_1,GCA_026170545.1,MVZCCGP_Mfo108-I_C12_R1.fastq.gz,MVZCCGP_Mfo108-I_C12_R2.fastq.gz,33.323,-116.7,41-Melanerpes,MVZCCGP_Mfo108-I_C12_1,41-Melanerpes,
MVZCCGP_Mfo108-I_C12,MVZCCGP_Mfo108-I_C12_3,GCA_026170545.1,MVZCCGP-Mfo108_S51_L004_R1_001.fastq.gz,MVZCCGP-Mfo108_S51_L004_R2_001.fastq.gz,33.323,-116.7,41-Melanerpes,MVZCCGP_Mfo108-I_C12_3,41-Melanerpes,
MVZCCGP_Mfo5-II_A01,MVZCCGP_Mfo5-II_A01_1,GCA_026170545.1,MVZCCGP_Mfo5-II_A01_R1.fastq.gz,MVZCCGP_Mfo5-II_A01_R2.fastq.gz,39.773,-121.615,41-Melanerpes,MVZCCGP_Mfo5-II_A01_1,41-Melanerpes,
MVZCCGP_Mfo123-II_C02,MVZCCGP_Mfo123-II_C02_1,GCA_026170545.1,MVZCCGP_Mfo123-II_C02_R1.fastq.gz,MVZCCGP_Mfo123-II_C02_R2.fastq.gz,40.580642,-122.364804,41-Melanerpes,MVZCCGP_Mfo123-II_C02_1,41-Melanerpes,
MVZCCGP_Mfo131-II_C03,MVZCCGP_Mfo131-II_C03_1,GCA_026170545.1,MVZCCGP_Mfo131-II_C03_R1.fastq.gz,MVZCCGP_Mfo131-II_C03_R2.fastq.gz,38.24925,-122.63573,41-Melanerpes,MVZCCGP_Mfo131-II_C03_1,41-Melanerpes,
MVZCCGP_Mfo164-II_A07,MVZCCGP_Mfo164-II_A07_1,GCA_026170545.1,MVZCCGP_Mfo164-II_A07_R1.fastq.gz,MVZCCGP_Mfo164-II_A07_R2.fastq.gz,41.265749,-121.505527,41-Melanerpes,MVZCCGP_Mfo164-II_A07_1,41-Melanerpes,
MVZCCGP_Mfo11-I_H01,MVZCCGP_Mfo11-I_H01_1,GCA_026170545.1,MVZCCGP_Mfo11-I_H01_R1.fastq.gz,MVZCCGP_Mfo11-I_H01_R2.fastq.gz,39.463295,-122.510975,41-Melanerpes,MVZCCGP_Mfo11-I_H01_1,41-Melanerpes,
MVZCCGP_Mfo11-I_H01,MVZCCGP_Mfo11-I_H01_3,GCA_026170545.1,MVZCCGP-Mfo11_S121_L004_R1_001.fastq.gz,MVZCCGP-Mfo11_S121_L004_R2_001.fastq.gz,39.463295,-122.510975,41-Melanerpes,MVZCCGP_Mfo11-I_H01_3,41-Melanerpes,
MVZCCGP_Mfo54-I_H05,MVZCCGP_Mfo54-I_H05_1,GCA_026170545.1,MVZCCGP_Mfo54-I_H05_R1.fastq.gz,MVZCCGP_Mfo54-I_H05_R2.fastq.gz,37.17769,-119.62943,41-Melanerpes,MVZCCGP_Mfo54-I_H05_1,41-Melanerpes,
MVZCCGP_Mfo54-I_H05,MVZCCGP_Mfo54-I_H05_3,GCA_026170545.1,MVZCCGP-Mfo54_S23_L004_R1_001.fastq.gz,MVZCCGP-Mfo54_S23_L004_R2_001.fastq.gz,37.17769,-119.62943,41-Melanerpes,MVZCCGP_Mfo54-I_H05_3,41-Melanerpes,
MVZCCGP_Mfo58-I_D06,MVZCCGP_Mfo58-I_D06_1,GCA_026170545.1,MVZCCGP_Mfo58-I_D06_R1.fastq.gz,MVZCCGP_Mfo58-I_D06_R2.fastq.gz,37.99714,-122.7588,41-Melanerpes,MVZCCGP_Mfo58-I_D06_1,41-Melanerpes,
MVZCCGP_Mfo58-I_D06,MVZCCGP_Mfo58-I_D06_3,GCA_026170545.1,MVZCCGP-Mfo58_S20_L004_R1_001.fastq.gz,MVZCCGP-Mfo58_S20_L004_R2_001.fastq.gz,37.99714,-122.7588,41-Melanerpes,MVZCCGP_Mfo58-I_D06_3,41-Melanerpes,
MVZCCGP_Mfo76-I_E08,MVZCCGP_Mfo76-I_E08_1,GCA_026170545.1,MVZCCGP_Mfo76-I_E08_R1.fastq.gz,MVZCCGP_Mfo76-I_E08_R2.fastq.gz,33.796237,-117.753331,41-Melanerpes,MVZCCGP_Mfo76-I_E08_1,41-Melanerpes,
MVZCCGP_Mfo76-I_E08,MVZCCGP_Mfo76-I_E08_3,GCA_026170545.1,MVZCCGP-Mfo76_S5_L004_R1_001.fastq.gz,MVZCCGP-Mfo76_S5_L004_R2_001.fastq.gz,33.796237,-117.753331,41-Melanerpes,MVZCCGP_Mfo76-I_E08_3,41-Melanerpes,
MVZCCGP_Mfo88-I_A10,MVZCCGP_Mfo88-I_A10_1,GCA_026170545.1,MVZCCGP_Mfo88-I_A10_R1.fastq.gz,MVZCCGP_Mfo88-I_A10_R2.fastq.gz,34.068171,-117.223108,41-Melanerpes,MVZCCGP_Mfo88-I_A10_1,41-Melanerpes,exclude
MVZCCGP_Mfo88-I_A10,MVZCCGP_Mfo88-I_A10_3,GCA_026170545.1,MVZCCGP-Mfo88_S76_L004_R1_001.fastq.gz,MVZCCGP-Mfo88_S76_L004_R2_001.fastq.gz,34.068171,-117.223108,41-Melanerpes,MVZCCGP_Mfo88-I_A10_3,41-Melanerpes,exclude
MVZCCGP_Mfo102-I_F11,MVZCCGP_Mfo102-I_F11_1,GCA_026170545.1,MVZCCGP_Mfo102-I_F11_R1.fastq.gz,MVZCCGP_Mfo102-I_F11_R2.fastq.gz,33.078,-116.603,41-Melanerpes,MVZCCGP_Mfo102-I_F11_1,41-Melanerpes,
MVZCCGP_Mfo102-I_F11,MVZCCGP_Mfo102-I_F11_3,GCA_026170545.1,MVZCCGP-Mfo102_S56_L004_R1_001.fastq.gz,MVZCCGP-Mfo102_S56_L004_R2_001.fastq.gz,33.078,-116.603,41-Melanerpes,MVZCCGP_Mfo102-I_F11_3,41-Melanerpes,
MVZCCGP_Mfo115-II_E01,MVZCCGP_Mfo115-II_E01_1,GCA_026170545.1,MVZCCGP_Mfo115-II_E01_R1.fastq.gz,MVZCCGP_Mfo115-II_E01_R2.fastq.gz,37.3816,-121.737,41-Melanerpes,MVZCCGP_Mfo115-II_E01_1,41-Melanerpes,
MVZCCGP_Mfo115-II_E01,MVZCCGP_Mfo115-II_E01_3,GCA_026170545.1,MVZCCGP-Mfo115_S43_L004_R1_001.fastq.gz,MVZCCGP-Mfo115_S43_L004_R2_001.fastq.gz,37.3816,-121.737,41-Melanerpes,MVZCCGP_Mfo115-II_E01_3,41-Melanerpes,
MVZCCGP_Mfo118-II_F01,MVZCCGP_Mfo118-II_F01_1,GCA_026170545.1,MVZCCGP_Mfo118-II_F01_R1.fastq.gz,MVZCCGP_Mfo118-II_F01_R2.fastq.gz,37.3816,-121.737,41-Melanerpes,MVZCCGP_Mfo118-II_F01_1,41-Melanerpes,
MVZCCGP_Mfo118-II_F01,MVZCCGP_Mfo118-II_F01_3,GCA_026170545.1,MVZCCGP-Mfo118_S116_L004_R1_001.fastq.gz,MVZCCGP-Mfo118_S116_L004_R2_001.fastq.gz,37.3816,-121.737,41-Melanerpes,MVZCCGP_Mfo118-II_F01_3,41-Melanerpes,
MVZCCGP_Mfo125-II_E02,MVZCCGP_Mfo125-II_E02_1,GCA_026170545.1,MVZCCGP_Mfo125-II_E02_R1.fastq.gz,MVZCCGP_Mfo125-II_E02_R2.fastq.gz,40.68468,-122.02545,41-Melanerpes,MVZCCGP_Mfo125-II_E02_1,41-Melanerpes,
MVZCCGP_Mfo125-II_E02,MVZCCGP_Mfo125-II_E02_3,GCA_026170545.1,MVZCCGP-Mfo125_S111_L004_R1_001.fastq.gz,MVZCCGP-Mfo125_S111_L004_R2_001.fastq.gz,40.68468,-122.02545,41-Melanerpes,MVZCCGP_Mfo125-II_E02_3,41-Melanerpes,
MVZCCGP_Mfo145-II_F04,MVZCCGP_Mfo145-II_F04_1,GCA_026170545.1,MVZCCGP_Mfo145-II_F04_R1.fastq.gz,MVZCCGP_Mfo145-II_F04_R2.fastq.gz,36.232,-118.805,41-Melanerpes,MVZCCGP_Mfo145-II_F04_1,41-Melanerpes,
MVZCCGP_Mfo145-II_F04,MVZCCGP_Mfo145-II_F04_3,GCA_026170545.1,MVZCCGP-Mfo145_S94_L004_R1_001.fastq.gz,MVZCCGP-Mfo145_S94_L004_R2_001.fastq.gz,36.232,-118.805,41-Melanerpes,MVZCCGP_Mfo145-II_F04_3,41-Melanerpes,
MVZCCGP_Mfo162-II_G06,MVZCCGP_Mfo162-II_G06_1,GCA_026170545.1,MVZCCGP_Mfo162-II_G06_R1.fastq.gz,MVZCCGP_Mfo162-II_G06_R2.fastq.gz,34.53349,-120.0611,41-Melanerpes,MVZCCGP_Mfo162-II_G06_1,41-Melanerpes,
MVZCCGP_Mfo162-II_G06,MVZCCGP_Mfo162-II_G06_3,GCA_026170545.1,MVZCCGP-Mfo162_S42_L004_R1_001.fastq.gz,MVZCCGP-Mfo162_S42_L004_R2_001.fastq.gz,34.53349,-120.0611,41-Melanerpes,MVZCCGP_Mfo162-II_G06_3,41-Melanerpes,
MVZCCGP_Mfo15-I_B02,MVZCCGP_Mfo15-I_B02_1,GCA_026170545.1,MVZCCGP_Mfo15-I_B02_R1.fastq.gz,MVZCCGP_Mfo15-I_B02_R2.fastq.gz,37.8234123,-122.0203743,41-Melanerpes,MVZCCGP_Mfo15-I_B02_1,41-Melanerpes,
MVZCCGP_Mfo15-I_B02,MVZCCGP_Mfo15-I_B02_3,GCA_026170545.1,MVZCCGP-Mfo15_S119_L004_R1_001.fastq.gz,MVZCCGP-Mfo15_S119_L004_R2_001.fastq.gz,37.8234123,-122.0203743,41-Melanerpes,MVZCCGP_Mfo15-I_B02_3,41-Melanerpes,
MVZCCGP_Mfo24-I_A03,MVZCCGP_Mfo24-I_A03_1,GCA_026170545.1,MVZCCGP_Mfo24-I_A03_R1.fastq.gz,MVZCCGP_Mfo24-I_A03_R2.fastq.gz,40.89479,-123.62283,41-Melanerpes,MVZCCGP_Mfo24-I_A03_1,41-Melanerpes,
MVZCCGP_Mfo24-I_A03,MVZCCGP_Mfo24-I_A03_3,GCA_026170545.1,MVZCCGP-Mfo24_S99_L004_R1_001.fastq.gz,MVZCCGP-Mfo24_S99_L004_R2_001.fastq.gz,40.89479,-123.62283,41-Melanerpes,MVZCCGP_Mfo24-I_A03_3,41-Melanerpes,
MVZCCGP_Mfo63-I_A07,MVZCCGP_Mfo63-I_A07_1,GCA_026170545.1,MVZCCGP_Mfo63-I_A07_R1.fastq.gz,MVZCCGP_Mfo63-I_A07_R2.fastq.gz,39.717,-123.262,41-Melanerpes,MVZCCGP_Mfo63-I_A07_1,41-Melanerpes,
MVZCCGP_Mfo63-I_A07,MVZCCGP_Mfo63-I_A07_3,GCA_026170545.1,MVZCCGP-Mfo63_S16_L004_R1_001.fastq.gz,MVZCCGP-Mfo63_S16_L004_R2_001.fastq.gz,39.717,-123.262,41-Melanerpes,MVZCCGP_Mfo63-I_A07_3,41-Melanerpes,
MVZCCGP_Mfo97-I_A11,MVZCCGP_Mfo97-I_A11_1,GCA_026170545.1,MVZCCGP_Mfo97-I_A11_R1.fastq.gz,MVZCCGP_Mfo97-I_A11_R2.fastq.gz,33.04,-116.59,41-Melanerpes,MVZCCGP_Mfo97-I_A11_1,41-Melanerpes,
MVZCCGP_Mfo97-I_A11,MVZCCGP_Mfo97-I_A11_3,GCA_026170545.1,MVZCCGP-Mfo97_S61_L004_R1_001.fastq.gz,MVZCCGP-Mfo97_S61_L004_R2_001.fastq.gz,33.04,-116.59,41-Melanerpes,MVZCCGP_Mfo97-I_A11_3,41-Melanerpes,
MVZCCGP_Mfo107-I_B12,MVZCCGP_Mfo107-I_B12_1,GCA_026170545.1,MVZCCGP_Mfo107-I_B12_R1.fastq.gz,MVZCCGP_Mfo107-I_B12_R2.fastq.gz,32.66406,-116.41405,41-Melanerpes,MVZCCGP_Mfo107-I_B12_1,41-Melanerpes,
MVZCCGP_Mfo107-I_B12,MVZCCGP_Mfo107-I_B12_3,GCA_026170545.1,MVZCCGP-Mfo107_S52_L004_R1_001.fastq.gz,MVZCCGP-Mfo107_S52_L004_R2_001.fastq.gz,32.66406,-116.41405,41-Melanerpes,MVZCCGP_Mfo107-I_B12_3,41-Melanerpes,
MVZCCGP_Mfo114-I_F12,MVZCCGP_Mfo114-I_F12_1,GCA_026170545.1,MVZCCGP_Mfo114-I_F12_R1.fastq.gz,MVZCCGP_Mfo114-I_F12_R2.fastq.gz,35.038992,-120.0201416,41-Melanerpes,MVZCCGP_Mfo114-I_F12_1,41-Melanerpes,
MVZCCGP_Mfo114-I_F12,MVZCCGP_Mfo114-I_F12_3,GCA_026170545.1,MVZCCGP-Mfo114_S48_L004_R1_001.fastq.gz,MVZCCGP-Mfo114_S48_L004_R2_001.fastq.gz,35.038992,-120.0201416,41-Melanerpes,MVZCCGP_Mfo114-I_F12_3,41-Melanerpes,
MVZCCGP_Mfo116-I_G12,MVZCCGP_Mfo116-I_G12_1,GCA_026170545.1,MVZCCGP_Mfo116-I_G12_R1.fastq.gz,MVZCCGP_Mfo116-I_G12_R2.fastq.gz,37.38311,-121.74264,41-Melanerpes,MVZCCGP_Mfo116-I_G12_1,41-Melanerpes,
MVZCCGP_Mfo116-I_G12,MVZCCGP_Mfo116-I_G12_3,GCA_026170545.1,MVZCCGP-Mfo116_S47_L004_R1_001.fastq.gz,MVZCCGP-Mfo116_S47_L004_R2_001.fastq.gz,37.38311,-121.74264,41-Melanerpes,MVZCCGP_Mfo116-I_G12_3,41-Melanerpes,
MVZCCGP_Mfo52-I_F05,MVZCCGP_Mfo52-I_F05_1,GCA_026170545.1,MVZCCGP_Mfo52-I_F05_R1.fastq.gz,MVZCCGP_Mfo52-I_F05_R2.fastq.gz,34.266794,-118.136,41-Melanerpes,MVZCCGP_Mfo52-I_F05_1,41-Melanerpes,
MVZCCGP_Mfo52-I_F05,MVZCCGP_Mfo52-I_F05_3,GCA_026170545.1,MVZCCGP-Mfo52_S25_L004_R1_001.fastq.gz,MVZCCGP-Mfo52_S25_L004_R2_001.fastq.gz,34.266794,-118.136,41-Melanerpes,MVZCCGP_Mfo52-I_F05_3,41-Melanerpes,
MVZCCGP_Mfo47-I_B05,MVZCCGP_Mfo47-I_B05_1,GCA_026170545.1,MVZCCGP_Mfo47-I_B05_R1.fastq.gz,MVZCCGP_Mfo47-I_B05_R2.fastq.gz,34.154225,-118.122838,41-Melanerpes,MVZCCGP_Mfo47-I_B05_1,41-Melanerpes,
MVZCCGP_Mfo47-I_B05,MVZCCGP_Mfo47-I_B05_3,GCA_026170545.1,MVZCCGP-Mfo47_S28_L004_R1_001.fastq.gz,MVZCCGP-Mfo47_S28_L004_R2_001.fastq.gz,34.154225,-118.122838,41-Melanerpes,MVZCCGP_Mfo47-I_B05_3,41-Melanerpes,
MVZCCGP_Mfo72-I_A08,MVZCCGP_Mfo72-I_A08_1,GCA_026170545.1,MVZCCGP_Mfo72-I_A08_R1.fastq.gz,MVZCCGP_Mfo72-I_A08_R2.fastq.gz,38.86763,-122.32325,41-Melanerpes,MVZCCGP_Mfo72-I_A08_1,41-Melanerpes,
MVZCCGP_Mfo72-I_A08,MVZCCGP_Mfo72-I_A08_3,GCA_026170545.1,MVZCCGP-Mfo72_S8_L004_R1_001.fastq.gz,MVZCCGP-Mfo72_S8_L004_R2_001.fastq.gz,38.86763,-122.32325,41-Melanerpes,MVZCCGP_Mfo72-I_A08_3,41-Melanerpes,
MVZCCGP_Mfo85-I_F09,MVZCCGP_Mfo85-I_F09_1,GCA_026170545.1,MVZCCGP_Mfo85-I_F09_R1.fastq.gz,MVZCCGP_Mfo85-I_F09_R2.fastq.gz,34.022,-116.893,41-Melanerpes,MVZCCGP_Mfo85-I_F09_1,41-Melanerpes,
MVZCCGP_Mfo85-I_F09,MVZCCGP_Mfo85-I_F09_3,GCA_026170545.1,MVZCCGP-Mfo85_S78_L004_R1_001.fastq.gz,MVZCCGP-Mfo85_S78_L004_R2_001.fastq.gz,34.022,-116.893,41-Melanerpes,MVZCCGP_Mfo85-I_F09_3,41-Melanerpes,
MVZCCGP_Mfo100-I_D11,MVZCCGP_Mfo100-I_D11_1,GCA_026170545.1,MVZCCGP_Mfo100-I_D11_R1.fastq.gz,MVZCCGP_Mfo100-I_D11_R2.fastq.gz,32.82,-116.83,41-Melanerpes,MVZCCGP_Mfo100-I_D11_1,41-Melanerpes,
MVZCCGP_Mfo100-I_D11,MVZCCGP_Mfo100-I_D11_3,GCA_026170545.1,MVZCCGP-Mfo100_S58_L004_R1_001.fastq.gz,MVZCCGP-Mfo100_S58_L004_R2_001.fastq.gz,32.82,-116.83,41-Melanerpes,MVZCCGP_Mfo100-I_D11_3,41-Melanerpes,
MVZCCGP_Mfo104-I_H11,MVZCCGP_Mfo104-I_H11_1,GCA_026170545.1,MVZCCGP_Mfo104-I_H11_R1.fastq.gz,MVZCCGP_Mfo104-I_H11_R2.fastq.gz,32.826,-116.516,41-Melanerpes,MVZCCGP_Mfo104-I_H11_1,41-Melanerpes,
MVZCCGP_Mfo104-I_H11,MVZCCGP_Mfo104-I_H11_3,GCA_026170545.1,MVZCCGP-Mfo104_S54_L004_R1_001.fastq.gz,MVZCCGP-Mfo104_S54_L004_R2_001.fastq.gz,32.826,-116.516,41-Melanerpes,MVZCCGP_Mfo104-I_H11_3,41-Melanerpes,
MVZCCGP_Mfo42-I_E04,MVZCCGP_Mfo42-I_E04_1,GCA_026170545.1,MVZCCGP_Mfo42-I_E04_R1.fastq.gz,MVZCCGP_Mfo42-I_E04_R2.fastq.gz,34.094,-118.601,41-Melanerpes,MVZCCGP_Mfo42-I_E04_1,41-Melanerpes,
MVZCCGP_Mfo42-I_E04,MVZCCGP_Mfo42-I_E04_3,GCA_026170545.1,MVZCCGP-Mfo42_S32_L004_R1_001.fastq.gz,MVZCCGP-Mfo42_S32_L004_R2_001.fastq.gz,34.094,-118.601,41-Melanerpes,MVZCCGP_Mfo42-I_E04_3,41-Melanerpes,
MVZCCGP_Mfo45-I_H04,MVZCCGP_Mfo45-I_H04_1,GCA_026170545.1,MVZCCGP_Mfo45-I_H04_R1.fastq.gz,MVZCCGP_Mfo45-I_H04_R2.fastq.gz,34.070987,-118.390737,41-Melanerpes,MVZCCGP_Mfo45-I_H04_1,41-Melanerpes,
MVZCCGP_Mfo45-I_H04,MVZCCGP_Mfo45-I_H04_3,GCA_026170545.1,MVZCCGP-Mfo45_S30_L004_R1_001.fastq.gz,MVZCCGP-Mfo45_S30_L004_R2_001.fastq.gz,34.070987,-118.390737,41-Melanerpes,MVZCCGP_Mfo45-I_H04_3,41-Melanerpes,
