BioSample,LibraryName,refGenome,fq1,fq2,lat,long,Organism,Run,BioProject,SampleType
MVZCCGP_Mfo65-I_B07,MVZCCGP_Mfo65-I_B07_1,GCA_026170545.1,MVZCCGP_Mfo65-I_B07_R1.fastq.gz,MVZCCGP_Mfo65-I_B07_R2.fastq.gz,36.37907777,-121.5669772,41-Melanerpes,MVZCCGP_Mfo65-I_B07_1,41-Melanerpes,
MVZCCGP_Mfo65-I_B07,MVZCCGP_Mfo65-I_B07_3,GCA_026170545.1,MVZCCGP-Mfo65_S15_L004_R1_001.fastq.gz,MVZCCGP-Mfo65_S15_L004_R2_001.fastq.gz,36.37907777,-121.5669772,41-Melanerpes,MVZCCGP_Mfo65-I_B07_3,41-Melanerpes,
MVZCCGP_Mfo103-I_G11,MVZCCGP_Mfo103-I_G11_1,GCA_026170545.1,MVZCCGP_Mfo103-I_G11_R1.fastq.gz,MVZCCGP_Mfo103-I_G11_R2.fastq.gz,32.8722744,-116.41835,41-Melanerpes,MVZCCGP_Mfo103-I_G11_1,41-Melanerpes,
MVZCCGP_Mfo103-I_G11,MVZCCGP_Mfo103-I_G11_3,GCA_026170545.1,MVZCCGP-Mfo103_S55_L004_R1_001.fastq.gz,MVZCCGP-Mfo103_S55_L004_R2_001.fastq.gz,32.8722744,-116.41835,41-Melanerpes,MVZCCGP_Mfo103-I_G11_3,41-Melanerpes,
MVZCCGP_Mfo138-II_A04,MVZCCGP_Mfo138-II_A04_1,GCA_026170545.1,MVZCCGP_Mfo138-II_A04_R1.fastq.gz,MVZCCGP_Mfo138-II_A04_R2.fastq.gz,40.27658,-122.51036,41-Melanerpes,MVZCCGP_Mfo138-II_A04_1,41-Melanerpes,
MVZCCGP_Mfo138-II_A04,MVZCCGP_Mfo138-II_A04_3,GCA_026170545.1,MVZCCGP-Mfo138_S98_L004_R1_001.fastq.gz,MVZCCGP-Mfo138_S98_L004_R2_001.fastq.gz,40.27658,-122.51036,41-Melanerpes,MVZCCGP_Mfo138-II_A04_3,41-Melanerpes,
MVZCCGP_Mfo166-II_C07,MVZCCGP_Mfo166-II_C07_1,GCA_026170545.1,MVZCCGP_Mfo166-II_C07_R1.fastq.gz,MVZCCGP_Mfo166-II_C07_R2.fastq.gz,41.262543,-121.498412,41-Melanerpes,MVZCCGP_Mfo166-II_C07_1,41-Melanerpes,
MVZCCGP_Mfo166-II_C07,MVZCCGP_Mfo166-II_C07_3,GCA_026170545.1,MVZCCGP-Mfo166_S40_L004_R1_001.fastq.gz,MVZCCGP-Mfo166_S40_L004_R2_001.fastq.gz,41.262543,-121.498412,41-Melanerpes,MVZCCGP_Mfo166-II_C07_3,41-Melanerpes,
MVZCCGP_Mfo22-I_G02,MVZCCGP_Mfo22-I_G02_1,GCA_026170545.1,MVZCCGP_Mfo22-I_G02_R1.fastq.gz,MVZCCGP_Mfo22-I_G02_R2.fastq.gz,36.768431,-119.033885,41-Melanerpes,MVZCCGP_Mfo22-I_G02_1,41-Melanerpes,
MVZCCGP_Mfo22-I_G02,MVZCCGP_Mfo22-I_G02_3,GCA_026170545.1,MVZCCGP-Mfo22_S100_L004_R1_001.fastq.gz,MVZCCGP-Mfo22_S100_L004_R2_001.fastq.gz,36.768431,-119.033885,41-Melanerpes,MVZCCGP_Mfo22-I_G02_3,41-Melanerpes,
MVZCCGP_Mfo28-I_C03,MVZCCGP_Mfo28-I_C03_1,GCA_026170545.1,MVZCCGP_Mfo28-I_C03_R1.fastq.gz,MVZCCGP_Mfo28-I_C03_R2.fastq.gz,35.60024,-118.51832,41-Melanerpes,MVZCCGP_Mfo28-I_C03_1,41-Melanerpes,
MVZCCGP_Mfo28-I_C03,MVZCCGP_Mfo28-I_C03_3,GCA_026170545.1,MVZCCGP-Mfo28_S69_L004_R1_001.fastq.gz,MVZCCGP-Mfo28_S69_L004_R2_001.fastq.gz,35.60024,-118.51832,41-Melanerpes,MVZCCGP_Mfo28-I_C03_3,41-Melanerpes,
MVZCCGP_Mfo40-I_C04,MVZCCGP_Mfo40-I_C04_1,GCA_026170545.1,MVZCCGP_Mfo40-I_C04_R1.fastq.gz,MVZCCGP_Mfo40-I_C04_R2.fastq.gz,34.150831,-118.3305,41-Melanerpes,MVZCCGP_Mfo40-I_C04_1,41-Melanerpes,
MVZCCGP_Mfo40-I_C04,MVZCCGP_Mfo40-I_C04_3,GCA_026170545.1,MVZCCGP-Mfo40_S34_L004_R1_001.fastq.gz,MVZCCGP-Mfo40_S34_L004_R2_001.fastq.gz,34.150831,-118.3305,41-Melanerpes,MVZCCGP_Mfo40-I_C04_3,41-Melanerpes,
MVZCCGP_Mfo41-I_D04,MVZCCGP_Mfo41-I_D04_1,GCA_026170545.1,MVZCCGP_Mfo41-I_D04_R1.fastq.gz,MVZCCGP_Mfo41-I_D04_R2.fastq.gz,34.186111,-118.146944,41-Melanerpes,MVZCCGP_Mfo41-I_D04_1,41-Melanerpes,
MVZCCGP_Mfo41-I_D04,MVZCCGP_Mfo41-I_D04_3,GCA_026170545.1,MVZCCGP-Mfo41_S33_L004_R1_001.fastq.gz,MVZCCGP-Mfo41_S33_L004_R2_001.fastq.gz,34.186111,-118.146944,41-Melanerpes,MVZCCGP_Mfo41-I_D04_3,41-Melanerpes,
MVZCCGP_Mfo67-I_D07,MVZCCGP_Mfo67-I_D07_1,GCA_026170545.1,MVZCCGP_Mfo67-I_D07_R1.fastq.gz,MVZCCGP_Mfo67-I_D07_R2.fastq.gz,36.37851365,-121.5568207,41-Melanerpes,MVZCCGP_Mfo67-I_D07_1,41-Melanerpes,
MVZCCGP_Mfo67-I_D07,MVZCCGP_Mfo67-I_D07_3,GCA_026170545.1,MVZCCGP-Mfo67_S13_L004_R1_001.fastq.gz,MVZCCGP-Mfo67_S13_L004_R2_001.fastq.gz,36.37851365,-121.5568207,41-Melanerpes,MVZCCGP_Mfo67-I_D07_3,41-Melanerpes,
MVZCCGP_Mfo113-I_E12,MVZCCGP_Mfo113-I_E12_1,GCA_026170545.1,MVZCCGP_Mfo113-I_E12_R1.fastq.gz,MVZCCGP_Mfo113-I_E12_R2.fastq.gz,35.630099,-120.667816,41-Melanerpes,MVZCCGP_Mfo113-I_E12_1,41-Melanerpes,
MVZCCGP_Mfo113-I_E12,MVZCCGP_Mfo113-I_E12_3,GCA_026170545.1,MVZCCGP-Mfo113_S49_L004_R1_001.fastq.gz,MVZCCGP-Mfo113_S49_L004_R2_001.fastq.gz,35.630099,-120.667816,41-Melanerpes,MVZCCGP_Mfo113-I_E12_3,41-Melanerpes,
MVZCCGP_Mfo121-II_A02,MVZCCGP_Mfo121-II_A02_1,GCA_026170545.1,MVZCCGP_Mfo121-II_A02_R1.fastq.gz,MVZCCGP_Mfo121-II_A02_R2.fastq.gz,40.389103,-122.285522,41-Melanerpes,MVZCCGP_Mfo121-II_A02_1,41-Melanerpes,
MVZCCGP_Mfo155-II_H05,MVZCCGP_Mfo155-II_H05_1,GCA_026170545.1,MVZCCGP_Mfo155-II_H05_R1.fastq.gz,MVZCCGP_Mfo155-II_H05_R2.fastq.gz,38.35354,-121.051819,41-Melanerpes,MVZCCGP_Mfo155-II_H05_1,41-Melanerpes,
MVZCCGP_Mfo155-II_H05,MVZCCGP_Mfo155-II_H05_3,GCA_026170545.1,MVZCCGP-Mfo155_S87_L004_R1_001.fastq.gz,MVZCCGP-Mfo155_S87_L004_R2_001.fastq.gz,38.35354,-121.051819,41-Melanerpes,MVZCCGP_Mfo155-II_H05_3,41-Melanerpes,
MVZCCGP_Mfo2-I_B01,MVZCCGP_Mfo2-I_B01_1,GCA_026170545.1,MVZCCGP_Mfo2-I_B01_R1.fastq.gz,MVZCCGP_Mfo2-I_B01_R2.fastq.gz,37.6380597,-121.7719339,41-Melanerpes,MVZCCGP_Mfo2-I_B01_1,41-Melanerpes,
MVZCCGP_Mfo2-I_B01,MVZCCGP_Mfo2-I_B01_3,GCA_026170545.1,MVZCCGP-Mfo2_S127_L004_R1_001.fastq.gz,MVZCCGP-Mfo2_S127_L004_R2_001.fastq.gz,37.6380597,-121.7719339,41-Melanerpes,MVZCCGP_Mfo2-I_B01_3,41-Melanerpes,
MVZCCGP_Mfo17-I_C02,MVZCCGP_Mfo17-I_C02_1,GCA_026170545.1,MVZCCGP_Mfo17-I_C02_R1.fastq.gz,MVZCCGP_Mfo17-I_C02_R2.fastq.gz,40.29466,-122.17738,41-Melanerpes,MVZCCGP_Mfo17-I_C02_1,41-Melanerpes,
MVZCCGP_Mfo17-I_C02,MVZCCGP_Mfo17-I_C02_3,GCA_026170545.1,MVZCCGP-Mfo17_S118_L004_R1_001.fastq.gz,MVZCCGP-Mfo17_S118_L004_R2_001.fastq.gz,40.29466,-122.17738,41-Melanerpes,MVZCCGP_Mfo17-I_C02_3,41-Melanerpes,
MVZCCGP_Mfo17-I_C02,MVZCCGP_Mfo17-I_C02_5,GCA_026170545.1,AAGGACAC-CCACAACA_S129_L004_R1_001.fastq.gz,AAGGACAC-CCACAACA_S129_L004_R2_001.fastq.gz,40.29466,-122.17738,41-Melanerpes,MVZCCGP_Mfo17-I_C02_5,41-Melanerpes,
MVZCCGP_Mfo32-I_E03,MVZCCGP_Mfo32-I_E03_1,GCA_026170545.1,MVZCCGP_Mfo32-I_E03_R1.fastq.gz,MVZCCGP_Mfo32-I_E03_R2.fastq.gz,39.2298477,-122.8454185,41-Melanerpes,MVZCCGP_Mfo32-I_E03_1,41-Melanerpes,
MVZCCGP_Mfo32-I_E03,MVZCCGP_Mfo32-I_E03_3,GCA_026170545.1,MVZCCGP-Mfo32_S67_L004_R1_001.fastq.gz,MVZCCGP-Mfo32_S67_L004_R2_001.fastq.gz,39.2298477,-122.8454185,41-Melanerpes,MVZCCGP_Mfo32-I_E03_3,41-Melanerpes,
MVZCCGP_Mfo53-I_G05,MVZCCGP_Mfo53-I_G05_1,GCA_026170545.1,MVZCCGP_Mfo53-I_G05_R1.fastq.gz,MVZCCGP_Mfo53-I_G05_R2.fastq.gz,37.17243,-119.63353,41-Melanerpes,MVZCCGP_Mfo53-I_G05_1,41-Melanerpes,
MVZCCGP_Mfo53-I_G05,MVZCCGP_Mfo53-I_G05_3,GCA_026170545.1,MVZCCGP-Mfo53_S24_L004_R1_001.fastq.gz,MVZCCGP-Mfo53_S24_L004_R2_001.fastq.gz,37.17243,-119.63353,41-Melanerpes,MVZCCGP_Mfo53-I_G05_3,41-Melanerpes,
MVZCCGP_Mfo44-I_G04,MVZCCGP_Mfo44-I_G04_1,GCA_026170545.1,MVZCCGP_Mfo44-I_G04_R1.fastq.gz,MVZCCGP_Mfo44-I_G04_R2.fastq.gz,34.066834,-118.895521,41-Melanerpes,MVZCCGP_Mfo44-I_G04_1,41-Melanerpes,
MVZCCGP_Mfo44-I_G04,MVZCCGP_Mfo44-I_G04_3,GCA_026170545.1,MVZCCGP-Mfo44_S31_L004_R1_001.fastq.gz,MVZCCGP-Mfo44_S31_L004_R2_001.fastq.gz,34.066834,-118.895521,41-Melanerpes,MVZCCGP_Mfo44-I_G04_3,41-Melanerpes,
MVZCCGP_Mfo56-I_B06,MVZCCGP_Mfo56-I_B06_1,GCA_026170545.1,MVZCCGP_Mfo56-I_B06_R1.fastq.gz,MVZCCGP_Mfo56-I_B06_R2.fastq.gz,38.040035,-122.787088,41-Melanerpes,MVZCCGP_Mfo56-I_B06_1,41-Melanerpes,
MVZCCGP_Mfo56-I_B06,MVZCCGP_Mfo56-I_B06_3,GCA_026170545.1,MVZCCGP-Mfo56_S21_L004_R1_001.fastq.gz,MVZCCGP-Mfo56_S21_L004_R2_001.fastq.gz,38.040035,-122.787088,41-Melanerpes,MVZCCGP_Mfo56-I_B06_3,41-Melanerpes,
MVZCCGP_Mfo69-I_F07,MVZCCGP_Mfo69-I_F07_1,GCA_026170545.1,MVZCCGP_Mfo69-I_F07_R1.fastq.gz,MVZCCGP_Mfo69-I_F07_R2.fastq.gz,36.442196,-121.646028,41-Melanerpes,MVZCCGP_Mfo69-I_F07_1,41-Melanerpes,
MVZCCGP_Mfo69-I_F07,MVZCCGP_Mfo69-I_F07_3,GCA_026170545.1,MVZCCGP-Mfo69_S11_L004_R1_001.fastq.gz,MVZCCGP-Mfo69_S11_L004_R2_001.fastq.gz,36.442196,-121.646028,41-Melanerpes,MVZCCGP_Mfo69-I_F07_3,41-Melanerpes,
MVZCCGP_Mfo71-I_H07,MVZCCGP_Mfo71-I_H07_1,GCA_026170545.1,MVZCCGP_Mfo71-I_H07_R1.fastq.gz,MVZCCGP_Mfo71-I_H07_R2.fastq.gz,38.324808,-122.257198,41-Melanerpes,MVZCCGP_Mfo71-I_H07_1,41-Melanerpes,
MVZCCGP_Mfo71-I_H07,MVZCCGP_Mfo71-I_H07_3,GCA_026170545.1,MVZCCGP-Mfo71_S9_L004_R1_001.fastq.gz,MVZCCGP-Mfo71_S9_L004_R2_001.fastq.gz,38.324808,-122.257198,41-Melanerpes,MVZCCGP_Mfo71-I_H07_3,41-Melanerpes,
MVZCCGP_Mfo75-I_D08,MVZCCGP_Mfo75-I_D08_1,GCA_026170545.1,MVZCCGP_Mfo75-I_D08_R1.fastq.gz,MVZCCGP_Mfo75-I_D08_R2.fastq.gz,33.920024,-117.838704,41-Melanerpes,MVZCCGP_Mfo75-I_D08_1,41-Melanerpes,
MVZCCGP_Mfo75-I_D08,MVZCCGP_Mfo75-I_D08_3,GCA_026170545.1,MVZCCGP-Mfo75_S6_L004_R1_001.fastq.gz,MVZCCGP-Mfo75_S6_L004_R2_001.fastq.gz,33.920024,-117.838704,41-Melanerpes,MVZCCGP_Mfo75-I_D08_3,41-Melanerpes,
MVZCCGP_Mfo84-I_E09,MVZCCGP_Mfo84-I_E09_1,GCA_026170545.1,MVZCCGP_Mfo84-I_E09_R1.fastq.gz,MVZCCGP_Mfo84-I_E09_R2.fastq.gz,34.022,-116.893,41-Melanerpes,MVZCCGP_Mfo84-I_E09_1,41-Melanerpes,
MVZCCGP_Mfo84-I_E09,MVZCCGP_Mfo84-I_E09_3,GCA_026170545.1,MVZCCGP-Mfo84_S79_L004_R1_001.fastq.gz,MVZCCGP-Mfo84_S79_L004_R2_001.fastq.gz,34.022,-116.893,41-Melanerpes,MVZCCGP_Mfo84-I_E09_3,41-Melanerpes,
MVZCCGP_Mfo137-II_H03,MVZCCGP_Mfo137-II_H03_1,GCA_026170545.1,MVZCCGP_Mfo137-II_H03_R1.fastq.gz,MVZCCGP_Mfo137-II_H03_R2.fastq.gz,40.3522682,-121.8846298,41-Melanerpes,MVZCCGP_Mfo137-II_H03_1,41-Melanerpes,
MVZCCGP_Mfo154-II_G05,MVZCCGP_Mfo154-II_G05_1,GCA_026170545.1,MVZCCGP_Mfo154-II_G05_R1.fastq.gz,MVZCCGP_Mfo154-II_G05_R2.fastq.gz,39.38955,-123.40761,41-Melanerpes,MVZCCGP_Mfo154-II_G05_1,41-Melanerpes,
MVZCCGP_Mfo82-I_C09,MVZCCGP_Mfo82-I_C09_1,GCA_026170545.1,MVZCCGP_Mfo82-I_C09_R1.fastq.gz,MVZCCGP_Mfo82-I_C09_R2.fastq.gz,33.815,-116.739,41-Melanerpes,MVZCCGP_Mfo82-I_C09_1,41-Melanerpes,
MVZCCGP_Mfo82-I_C09,MVZCCGP_Mfo82-I_C09_3,GCA_026170545.1,MVZCCGP-Mfo82_S81_L004_R1_001.fastq.gz,MVZCCGP-Mfo82_S81_L004_R2_001.fastq.gz,33.815,-116.739,41-Melanerpes,MVZCCGP_Mfo82-I_C09_3,41-Melanerpes,
MVZCCGP_Mfo94-I_F10,MVZCCGP_Mfo94-I_F10_1,GCA_026170545.1,MVZCCGP_Mfo94-I_F10_R1.fastq.gz,MVZCCGP_Mfo94-I_F10_R2.fastq.gz,32.8526245,-117.1376038,41-Melanerpes,MVZCCGP_Mfo94-I_F10_1,41-Melanerpes,
MVZCCGP_Mfo94-I_F10,MVZCCGP_Mfo94-I_F10_3,GCA_026170545.1,MVZCCGP-Mfo94_S71_L004_R1_001.fastq.gz,MVZCCGP-Mfo94_S71_L004_R2_001.fastq.gz,32.8526245,-117.1376038,41-Melanerpes,MVZCCGP_Mfo94-I_F10_3,41-Melanerpes,
MVZCCGP_Mfo92-I_D10,MVZCCGP_Mfo92-I_D10_1,GCA_026170545.1,MVZCCGP_Mfo92-I_D10_R1.fastq.gz,MVZCCGP_Mfo92-I_D10_R2.fastq.gz,32.643262,-116.77873,41-Melanerpes,MVZCCGP_Mfo92-I_D10_1,41-Melanerpes,
MVZCCGP_Mfo92-I_D10,MVZCCGP_Mfo92-I_D10_3,GCA_026170545.1,MVZCCGP-Mfo92_S73_L004_R1_001.fastq.gz,MVZCCGP-Mfo92_S73_L004_R2_001.fastq.gz,32.643262,-116.77873,41-Melanerpes,MVZCCGP_Mfo92-I_D10_3,41-Melanerpes,
MVZCCGP_Mfo133-II_D03,MVZCCGP_Mfo133-II_D03_1,GCA_026170545.1,MVZCCGP_Mfo133-II_D03_R1.fastq.gz,MVZCCGP_Mfo133-II_D03_R2.fastq.gz,38.44,-122.59,41-Melanerpes,MVZCCGP_Mfo133-II_D03_1,41-Melanerpes,
MVZCCGP_Mfo133-II_D03,MVZCCGP_Mfo133-II_D03_3,GCA_026170545.1,MVZCCGP-Mfo133_S105_L004_R1_001.fastq.gz,MVZCCGP-Mfo133_S105_L004_R2_001.fastq.gz,38.44,-122.59,41-Melanerpes,MVZCCGP_Mfo133-II_D03_3,41-Melanerpes,
MVZCCGP_Mfo38-I_A04,MVZCCGP_Mfo38-I_A04_1,GCA_026170545.1,MVZCCGP_Mfo38-I_A04_R1.fastq.gz,MVZCCGP_Mfo38-I_A04_R2.fastq.gz,34.157315,-118.734087,41-Melanerpes,MVZCCGP_Mfo38-I_A04_1,41-Melanerpes,
MVZCCGP_Mfo38-I_A04,MVZCCGP_Mfo38-I_A04_3,GCA_026170545.1,MVZCCGP-Mfo38_S36_L004_R1_001.fastq.gz,MVZCCGP-Mfo38_S36_L004_R2_001.fastq.gz,34.157315,-118.734087,41-Melanerpes,MVZCCGP_Mfo38-I_A04_3,41-Melanerpes,
MVZCCGP_Mfo48-I_C05,MVZCCGP_Mfo48-I_C05_1,GCA_026170545.1,MVZCCGP_Mfo48-I_C05_R1.fastq.gz,MVZCCGP_Mfo48-I_C05_R2.fastq.gz,34.144497,-118.130051,41-Melanerpes,MVZCCGP_Mfo48-I_C05_1,41-Melanerpes,
MVZCCGP_Mfo73-I_B08,MVZCCGP_Mfo73-I_B08_1,GCA_026170545.1,MVZCCGP_Mfo73-I_B08_R1.fastq.gz,MVZCCGP_Mfo73-I_B08_R2.fastq.gz,39.287032,-121.194462,41-Melanerpes,MVZCCGP_Mfo73-I_B08_1,41-Melanerpes,
MVZCCGP_Mfo73-I_B08,MVZCCGP_Mfo73-I_B08_3,GCA_026170545.1,MVZCCGP-Mfo73_S7_L004_R1_001.fastq.gz,MVZCCGP-Mfo73_S7_L004_R2_001.fastq.gz,39.287032,-121.194462,41-Melanerpes,MVZCCGP_Mfo73-I_B08_3,41-Melanerpes,
MVZCCGP_Mfo79-I_H08,MVZCCGP_Mfo79-I_H08_1,GCA_026170545.1,MVZCCGP_Mfo79-I_H08_R1.fastq.gz,MVZCCGP_Mfo79-I_H08_R2.fastq.gz,33.55206,-117.32712,41-Melanerpes,MVZCCGP_Mfo79-I_H08_1,41-Melanerpes,
MVZCCGP_Mfo79-I_H08,MVZCCGP_Mfo79-I_H08_3,GCA_026170545.1,MVZCCGP-Mfo79_S2_L004_R1_001.fastq.gz,MVZCCGP-Mfo79_S2_L004_R2_001.fastq.gz,33.55206,-117.32712,41-Melanerpes,MVZCCGP_Mfo79-I_H08_3,41-Melanerpes,
MVZCCGP_Mfo89-I_B10,MVZCCGP_Mfo89-I_B10_1,GCA_026170545.1,MVZCCGP_Mfo89-I_B10_R1.fastq.gz,MVZCCGP_Mfo89-I_B10_R2.fastq.gz,34.2657,-117.1699,41-Melanerpes,MVZCCGP_Mfo89-I_B10_1,41-Melanerpes,
MVZCCGP_Mfo89-I_B10,MVZCCGP_Mfo89-I_B10_3,GCA_026170545.1,MVZCCGP-Mfo89_S75_L004_R1_001.fastq.gz,MVZCCGP-Mfo89_S75_L004_R2_001.fastq.gz,34.2657,-117.1699,41-Melanerpes,MVZCCGP_Mfo89-I_B10_3,41-Melanerpes,
MVZCCGP_Mfo96-I_H10,MVZCCGP_Mfo96-I_H10_1,GCA_026170545.1,MVZCCGP_Mfo96-I_H10_R1.fastq.gz,MVZCCGP_Mfo96-I_H10_R2.fastq.gz,33.0178638,-116.8375776,41-Melanerpes,MVZCCGP_Mfo96-I_H10_1,41-Melanerpes,
MVZCCGP_Mfo96-I_H10,MVZCCGP_Mfo96-I_H10_3,GCA_026170545.1,MVZCCGP-Mfo96_S62_L004_R1_001.fastq.gz,MVZCCGP-Mfo96_S62_L004_R2_001.fastq.gz,33.0178638,-116.8375776,41-Melanerpes,MVZCCGP_Mfo96-I_H10_3,41-Melanerpes,
MVZCCGP_Mfo83-I_D09,MVZCCGP_Mfo83-I_D09_1,GCA_026170545.1,MVZCCGP_Mfo83-I_D09_R1.fastq.gz,MVZCCGP_Mfo83-I_D09_R2.fastq.gz,34.243,-117.287,41-Melanerpes,MVZCCGP_Mfo83-I_D09_1,41-Melanerpes,
MVZCCGP_Mfo83-I_D09,MVZCCGP_Mfo83-I_D09_3,GCA_026170545.1,MVZCCGP-Mfo83_S80_L004_R1_001.fastq.gz,MVZCCGP-Mfo83_S80_L004_R2_001.fastq.gz,34.243,-117.287,41-Melanerpes,MVZCCGP_Mfo83-I_D09_3,41-Melanerpes,
MVZCCGP_Mfo119-II_G01,MVZCCGP_Mfo119-II_G01_1,GCA_026170545.1,MVZCCGP_Mfo119-II_G01_R1.fastq.gz,MVZCCGP_Mfo119-II_G01_R2.fastq.gz,37.000489,-121.95574,41-Melanerpes,MVZCCGP_Mfo119-II_G01_1,41-Melanerpes,
MVZCCGP_Mfo119-II_G01,MVZCCGP_Mfo119-II_G01_3,GCA_026170545.1,MVZCCGP-Mfo119_S115_L004_R1_001.fastq.gz,MVZCCGP-Mfo119_S115_L004_R2_001.fastq.gz,37.000489,-121.95574,41-Melanerpes,MVZCCGP_Mfo119-II_G01_3,41-Melanerpes,
MVZCCGP_Mfo141-II_D04,MVZCCGP_Mfo141-II_D04_1,GCA_026170545.1,MVZCCGP_Mfo141-II_D04_R1.fastq.gz,MVZCCGP_Mfo141-II_D04_R2.fastq.gz,40.29466,-122.17738,41-Melanerpes,MVZCCGP_Mfo141-II_D04_1,41-Melanerpes,
